SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 16:17:35
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
-10.0      | -9.67      | 0.33       | 178673   | 214.87     | 156.53     | 311.42     | -0.8542  | 0.2653   | -0.4471  | -0.4397  | -0.8276  | 0.3490   | -0.2775  | 0.4947   | 0.8236  
-20.0      | -19.48     | 0.52       | 178827   | 214.56     | 154.66     | 311.99     | -0.8712  | 0.2170   | -0.4403  | -0.3917  | -0.8479  | 0.3572   | -0.2958  | 0.4837   | 0.8237  
-30.0      | -29.59     | 0.41       | 178981   | 214.31     | 152.22     | 312.17     | -0.8847  | 0.1640   | -0.4363  | -0.3444  | -0.8608  | 0.3747   | -0.3141  | 0.4817   | 0.8181  
-20.0      | -20.07     | 0.07       | 179134   | 214.34     | 152.28     | 312.19     | -0.8848  | 0.1647   | -0.4359  | -0.3449  | -0.8605  | 0.3749   | -0.3134  | 0.4820   | 0.8182  
-10.0      | -10.11     | 0.11       | 179288   | 214.33     | 152.48     | 312.19     | -0.8841  | 0.1676   | -0.4363  | -0.3474  | -0.8600  | 0.3737   | -0.3126  | 0.4819   | 0.8186  
0.0        | -0.20      | 0.20       | 179441   | 214.38     | 152.92     | 312.15     | -0.8828  | 0.1739   | -0.4364  | -0.3530  | -0.8586  | 0.3719   | -0.3100  | 0.4823   | 0.8193  
10.0       | 9.62       | 0.38       | 179595   | 214.58     | 154.56     | 311.89     | -0.8744  | 0.2028   | -0.4409  | -0.3800  | -0.8511  | 0.3622   | -0.3018  | 0.4843   | 0.8212  
20.0       | 19.38      | 0.62       | 179749   | 215.21     | 158.64     | 311.16     | -0.8444  | 0.2889   | -0.4512  | -0.4587  | -0.8249  | 0.3304   | -0.2767  | 0.4860   | 0.8290  
30.0       | 29.30      | 0.70       | 179902   | 216.55     | 163.46     | 310.34     | -0.7963  | 0.3987   | -0.4549  | -0.5537  | -0.7833  | 0.2827   | -0.2436  | 0.4770   | 0.8445  
40.0       | 39.01      | 0.99       | 180056   | 218.25     | 168.53     | 309.79     | -0.7356  | 0.4981   | -0.4592  | -0.6430  | -0.7268  | 0.2417   | -0.2134  | 0.4730   | 0.8548  
50.0       | 49.17      | 0.83       | 180209   | 219.14     | 170.79     | 309.50     | -0.7018  | 0.5445   | -0.4594  | -0.6840  | -0.6953  | 0.2207   | -0.1992  | 0.4690   | 0.8604  
60.0       | 58.94      | 1.06       | 180363   | 222.07     | 176.70     | 308.75     | -0.5995  | 0.6566   | -0.4578  | -0.7838  | -0.5974  | 0.1697   | -0.1621  | 0.4605   | 0.8727  
70.0       | 68.95      | 1.05       | 180517   | 225.18     | 181.73     | 308.17     | -0.4976  | 0.7385   | -0.4549  | -0.8562  | -0.5023  | 0.1211   | -0.1391  | 0.4498   | 0.8823  
80.0       | 78.71      | 1.29       | 180670   | 226.68     | 183.55     | 308.17     | -0.4425  | 0.7720   | -0.4562  | -0.8874  | -0.4503  | 0.0986   | -0.1294  | 0.4485   | 0.8844  
