SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 16:15:05
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
-10.0      | -10.21     | 0.21       | 161623   | 214.41     | 153.71     | 311.90     | -0.8766  | 0.1965   | -0.4392  | -0.3732  | -0.8538  | 0.3630   | -0.3036  | 0.4822   | 0.8218  
0.0        | -0.24      | 0.24       | 161707   | 214.51     | 154.36     | 311.84     | -0.8737  | 0.2067   | -0.4403  | -0.3825  | -0.8511  | 0.3595   | -0.3005  | 0.4825   | 0.8227  
10.0       | 9.57       | 0.43       | 161790   | 214.81     | 156.35     | 311.47     | -0.8622  | 0.2425   | -0.4447  | -0.4159  | -0.8401  | 0.3482   | -0.2892  | 0.4852   | 0.8252  
20.0       | 19.43      | 0.57       | 161873   | 215.89     | 160.84     | 310.67     | -0.8246  | 0.3413   | -0.4511  | -0.5022  | -0.8087  | 0.3062   | -0.2604  | 0.4791   | 0.8383  
30.0       | 29.35      | 0.65       | 161956   | 217.18     | 165.57     | 310.09     | -0.7736  | 0.4396   | -0.4565  | -0.5901  | -0.7622  | 0.2661   | -0.2310  | 0.4752   | 0.8490  
40.0       | 39.06      | 0.94       | 162039   | 217.88     | 167.59     | 309.87     | -0.7492  | 0.4792   | -0.4573  | -0.6255  | -0.7389  | 0.2504   | -0.2179  | 0.4736   | 0.8533  
50.0       | 49.90      | 0.10       | 162123   | 220.25     | 173.39     | 308.98     | -0.6578  | 0.5968   | -0.4595  | -0.7303  | -0.6546  | 0.1953   | -0.1842  | 0.4640   | 0.8665  
60.0       | 58.50      | 1.50       | 162206   | 221.11     | 175.09     | 308.90     | -0.6289  | 0.6288   | -0.4573  | -0.7581  | -0.6265  | 0.1810   | -0.1727  | 0.4605   | 0.8707  
70.0       | 69.38      | 0.62       | 162289   | 221.99     | 176.54     | 308.65     | -0.6017  | 0.6554   | -0.4565  | -0.7820  | -0.5996  | 0.1700   | -0.1624  | 0.4593   | 0.8733  
80.0       | 79.10      | 0.90       | 162372   | 222.71     | 177.77     | 308.59     | -0.5790  | 0.6766   | -0.4549  | -0.8004  | -0.5779  | 0.1593   | -0.1551  | 0.4563   | 0.8762  
