SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 15:51:02
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
-30.0      | -29.47     | 0.53       | 17251    | 219.22     | 151.22     | 322.79     | -0.9519  | 0.1899   | -0.2406  | -0.2740  | -0.8791  | 0.3900   | -0.1374  | 0.4371   | 0.8889  
-40.0      | -39.32     | 0.68       | 17334    | 221.79     | 151.45     | 326.55     | -0.9657  | 0.2063   | -0.1574  | -0.2533  | -0.8811  | 0.3995   | -0.0563  | 0.4256   | 0.9031  
-30.0      | -29.88     | 0.12       | 17417    | 221.79     | 151.44     | 326.54     | -0.9657  | 0.2060   | -0.1578  | -0.2532  | -0.8811  | 0.3995   | -0.0567  | 0.4258   | 0.9031  
-20.0      | -20.04     | 0.04       | 17500    | 221.50     | 151.30     | 325.93     | -0.9648  | 0.2031   | -0.1672  | -0.2546  | -0.8808  | 0.3992   | -0.0662  | 0.4277   | 0.9015  
-10.0      | -10.08     | 0.08       | 17583    | 220.43     | 151.16     | 323.88     | -0.9591  | 0.1963   | -0.2037  | -0.2640  | -0.8799  | 0.3951   | -0.1017  | 0.4328   | 0.8957  
0.0        | -0.18      | 0.18       | 17666    | 217.69     | 150.87     | 318.57     | -0.9358  | 0.1774   | -0.3045  | -0.2906  | -0.8773  | 0.3820   | -0.1994  | 0.4460   | 0.8726  
10.0       | 9.73       | 0.27       | 17750    | 215.31     | 150.56     | 313.55     | -0.9028  | 0.1573   | -0.4002  | -0.3152  | -0.8751  | 0.3671   | -0.2925  | 0.4576   | 0.8397  
20.0       | 19.57      | 0.43       | 17833    | 213.43     | 150.24     | 309.02     | -0.8642  | 0.1386   | -0.4836  | -0.3373  | -0.8729  | 0.3525   | -0.3733  | 0.4678   | 0.8011  
30.0       | 29.41      | 0.59       | 17916    | 212.40     | 150.01     | 305.48     | -0.8308  | 0.1253   | -0.5423  | -0.3530  | -0.8719  | 0.3394   | -0.4303  | 0.4734   | 0.7686  
40.0       | 39.32      | 0.68       | 17999    | 211.46     | 149.65     | 301.27     | -0.7881  | 0.1094   | -0.6058  | -0.3696  | -0.8710  | 0.3236   | -0.4922  | 0.4789   | 0.7269  
50.0       | 49.28      | 0.72       | 18082    | 210.83     | 149.09     | 296.23     | -0.7327  | 0.0892   | -0.6747  | -0.3852  | -0.8716  | 0.3031   | -0.5610  | 0.4820   | 0.6730  
60.0       | 59.12      | 0.88       | 18166    | 210.52     | 148.59     | 290.79     | -0.6640  | 0.0689   | -0.7446  | -0.4036  | -0.8713  | 0.2793   | -0.6295  | 0.4859   | 0.6063  
